epoch,train_loss,train_wing,train_bone,lr,epoch_seconds,val_pck,val_auc,val_mpjpe,val_n
1,27.765776,26.292564,736.605853,9.99755747e-05,531.48,,,,
2,21.633602,20.862951,385.325097,9.99023231e-05,509.39,,,,
3,19.915595,19.272010,321.792865,9.97803172e-05,731.28,,,,
4,18.924688,18.350167,287.260228,9.96096777e-05,746.82,,,,
5,18.274392,17.736937,268.727655,9.93905729e-05,680.50,0.912619,0.831021,21.8515,200
6,17.664724,17.165318,249.703200,9.91232189e-05,724.18,,,,
7,17.265604,16.795730,234.936897,9.88078797e-05,742.69,,,,
8,16.877779,16.427788,224.995316,9.84448665e-05,698.50,,,,
9,16.497490,16.067352,215.069071,9.80345374e-05,787.23,,,,
10,16.275417,15.864249,205.584131,9.75772976e-05,670.43,0.930238,0.850883,19.3242,200
11,16.008191,15.610479,198.856364,9.70735981e-05,513.82,,,,
12,15.759742,15.375348,192.197009,9.65239361e-05,543.91,,,,
13,15.500462,15.132267,184.097351,9.59288540e-05,548.26,,,,
14,15.371120,15.011660,179.730382,9.52889391e-05,824.04,,,,
15,15.096415,14.753029,171.693057,9.46048229e-05,827.52,0.930000,0.853578,18.9226,200
16,15.005458,14.666150,169.653739,9.38771807e-05,810.54,,,,
17,14.848115,14.515072,166.521765,9.31067303e-05,768.05,,,,
18,14.696116,14.372930,161.593351,9.22942323e-05,773.82,,,,
19,14.550715,14.236077,157.318722,9.14404884e-05,768.06,,,,
20,14.429414,14.118825,155.294246,9.05463412e-05,710.69,0.946905,0.870564,16.7502,200
21,14.313976,14.011201,151.387453,8.96126731e-05,745.64,,,,
22,14.145808,13.851942,146.933070,8.86404055e-05,777.83,,,,
23,14.032979,13.743943,144.518379,8.76304979e-05,729.53,,,,
24,13.951707,13.666454,142.626269,8.65839471e-05,679.81,,,,
25,13.837591,13.557009,140.291317,8.55017857e-05,674.60,0.946667,0.869411,16.8629,200
26,13.752867,13.481292,135.787583,8.43850817e-05,822.67,,,,
27,13.621788,13.350261,135.763922,8.32349373e-05,784.15,,,,
28,13.551503,13.286394,132.554315,8.20524875e-05,540.66,,,,
29,13.532316,13.268206,132.054834,8.08388992e-05,685.16,,,,
30,13.399034,13.143355,127.839149,7.95953700e-05,788.33,0.941190,0.868722,16.9025,200
31,13.314912,13.061178,126.866939,7.83231272e-05,762.95,,,,
32,13.248697,12.999080,124.808562,7.70234264e-05,698.25,,,,
33,13.192691,12.945093,123.798873,7.56975501e-05,697.55,,,,
34,13.103162,12.858305,122.428731,7.43468069e-05,695.51,,,,
35,13.004505,12.762700,120.902409,7.29725297e-05,699.01,0.945714,0.870858,16.6952,200
36,12.965731,12.726608,119.561525,7.15760749e-05,704.12,,,,
37,12.886686,12.652852,116.916974,7.01588206e-05,700.20,,,,
38,12.788760,12.558871,114.944758,6.87221654e-05,703.90,,,,
39,12.749039,12.519545,114.747207,6.72675271e-05,696.83,,,,
40,12.677673,12.452132,112.770573,6.57963412e-05,698.15,0.957381,0.881159,15.2637,200
41,12.689383,12.463208,113.087860,6.43100597e-05,700.19,,,,
42,12.589892,12.368214,110.838764,6.28101494e-05,699.81,,,,
43,12.507546,12.289616,108.964964,6.12980904e-05,743.90,,,,
44,12.446653,12.228508,109.072575,5.97753751e-05,695.99,,,,
45,12.412145,12.196403,107.871109,5.82435060e-05,696.20,0.957857,0.882563,15.1260,200
46,12.340939,12.127476,106.731965,5.67039951e-05,694.03,,,,
47,12.310269,12.098266,106.001519,5.51583615e-05,702.46,,,,
48,12.246696,12.035588,105.553762,5.36081307e-05,724.55,,,,
49,12.193366,11.987710,102.827953,5.20548326e-05,701.73,,,,
