C:\Users\Bea Juliana Poquiz\Desktop\mmpose_thesis\.venv\lib\site-packages\mmpose\datasets\datasets\utils.py:102: UserWarning: The metainfo config file "configs/_base_/datasets/rhd2d.py" does not exist. A matched config file "C:\Users\Bea Juliana Poquiz\Desktop\mmpose_thesis\.venv\lib\site-packages\mmpose\.mim\configs\_base_\datasets\rhd2d.py" will be used instead.
  warnings.warn(
Device: cuda
Loaded MediaPipe pretrained weights as starting point (matches distillation_v2.py)
loading annotations into memory...
Done (t=5.65s)
creating index...
index created!
[v2match] train set: rhd_train.json, 41255 images (full, matches distillation_v2.py:104-108, no subsetting)
loading annotations into memory...
Done (t=0.30s)
creating index...
index created!
[v2match] monitoring set: first 200 of rhd_test.json (2727 total), matching distillation_v2.py's VAL_SAMPLES=200 default and its batch_size=1/shuffle=False iteration order. NOTE: this is V2's own monitoring instrument, reused for parity -- it is not a held-out set (it is part of the file everything is finally scored on), so it does not license early stopping. See heldout protocol for that.
  sanity[0] transformed_keypoints mean=[133.7 132.2] in-range=True
  sanity[1] transformed_keypoints mean=[129.5 139.3] in-range=True
  sanity[2] transformed_keypoints mean=[132.7 140.5] in-range=True

=======================================================
R2-05 PARITY-CONTROLLED DIRECT SUPERVISION RETRAIN
run_name=parity_baseline  weight_decay=0.0  early_stop=False  strong_aug=False
Target: hard GT keypoints (gt_instances.transformed_keypoints, crop-space, bug-fixed)
Loss: Wing(w=10) + 0.002*Bone  |  Aug: matches distillation_v2.py
LR: Cosine 1e-4 -> 1e-6 over 100 epochs  |  Adam wd=0.0
=======================================================

Epoch [1/100] Step [0/1290] Loss:53.5044 Wing:46.6628 Bone:3420.7742
Epoch [1/100] Step [20/1290] Loss:41.7649 Wing:37.2952 Bone:2234.8726
Epoch [1/100] Step [40/1290] Loss:37.3656 Wing:34.2097 Bone:1577.9473
Epoch [1/100] Step [60/1290] Loss:38.2490 Wing:34.8728 Bone:1688.0918
Epoch [1/100] Step [80/1290] Loss:37.9627 Wing:34.3832 Bone:1789.7211
Epoch [1/100] Step [100/1290] Loss:35.3633 Wing:33.0315 Bone:1165.9010
Epoch [1/100] Step [120/1290] Loss:39.0012 Wing:35.9511 Bone:1525.0723
Epoch [1/100] Step [140/1290] Loss:39.3492 Wing:36.3668 Bone:1491.2046
Epoch [1/100] Step [160/1290] Loss:33.4485 Wing:31.2229 Bone:1112.7924
Epoch [1/100] Step [180/1290] Loss:34.7200 Wing:32.6497 Bone:1035.1840
Epoch [1/100] Step [200/1290] Loss:29.7665 Wing:28.2533 Bone:756.5984
Epoch [1/100] Step [220/1290] Loss:33.6877 Wing:31.7345 Bone:976.6237
Epoch [1/100] Step [240/1290] Loss:30.2040 Wing:27.9933 Bone:1105.3385
