Checkpoint,PCK@0.2,MPJPE
Epoch_10,0.6017,51.2727
Epoch_20,0.6317,48.7159
Epoch_30,0.6040,51.4505
Epoch_40,0.5898,53.2656
Epoch_50,0.5700,54.7782
Epoch_60,0.5550,56.4221
Epoch_70,0.5481,57.3516
Epoch_80,0.5383,58.5512
Epoch_90,0.5464,58.3476
Epoch_100,0.5374,58.9636
Epoch_110,0.5250,59.7538
Epoch_120,0.5305,59.5123
Epoch_130,0.5286,59.5789
Epoch_140,0.5210,60.1184
Epoch_150,0.5176,60.1504
Epoch_160,0.5162,60.4231
Epoch_170,0.5114,60.5774
Epoch_180,0.5160,60.0326
Epoch_190,0.5219,59.7001
Epoch_200,0.5224,59.6870
Epoch_210,0.5212,59.6390
