Checkpoint,Epoch,PCK@0.2,MPJPE,EPE,MSE,AUC
Epoch_10,10,0.7281,40.3039,40.3039,3291.1150,0.6976
Epoch_20,20,0.7443,38.2385,38.2385,3066.7117,0.7121
Epoch_30,30,0.7490,37.7271,37.7271,2979.6843,0.7157
Epoch_40,40,0.7540,36.2569,36.2569,2858.1455,0.7270
Epoch_50,50,0.7569,36.4630,36.4630,2890.3523,0.7255
Epoch_60,60,0.7579,35.9625,35.9625,2893.0588,0.7295
Epoch_65_BEST,65,0.7693,35.5827,35.5827,2834.2705,0.7319
Epoch_70,70,0.7640,35.3903,35.3903,2788.7444,0.7333
Epoch_80,80,0.7648,35.2723,35.2723,2787.3079,0.7344
Epoch_90,90,0.7674,35.1120,35.1120,2779.7649,0.7353
Epoch_100,100,0.7676,35.0629,35.0629,2769.3718,0.7358
