MediaPipe SDK vs BlazeHandLandmark (zmurez starting weights)
Dataset  : RHD2D test set | Reference: Ground truth
Samples  : 2727 | Threshold: PCK@0.2 (51.2 px in 256x256)

Metric                          MediaPipe SDK     BlazeHand (zmurez)
--------------------------------------------------------------------
PCK@0.2                                0.5967                 0.6267
MPJPE (px)                           100.7540                78.2460
MSE (px2)                          22936.0333             14672.4689
AUC                                    0.5526                 0.5895
Det Rate (%)                          66.2266                80.0513
Detected                                1806/2727                  2183/2727
Not Detected                             921/2727                   544/2727

Per-joint breakdown:
Joint             MP PCK@0.2   MP MPJPE   BLZ PCK@0.2   BLZ MPJPE
----------------------------------------------------------------
Wrist                 0.5794   106.4264        0.5024     88.2526
Thumb_CMC             0.5963   102.7034        0.5629     82.4672
Thumb_MCP             0.5875   101.6622        0.5732     81.9370
Thumb_IP              0.5878   101.1581        0.5783     81.1372
Thumb_Tip             0.5823   103.8940        0.5592     85.5577
Index_MCP             0.5922   100.1872        0.6601     74.5641
Index_PIP             0.6051    97.6678        0.6524     75.9419
Index_DIP             0.6025    98.9351        0.6447     75.8923
Index_Tip             0.5750   104.4178        0.5596     84.6468
Middle_MCP            0.6047    99.9154        0.7048     71.9669
Middle_PIP            0.6201    96.8221        0.7030     72.8710
Middle_DIP            0.6300    96.3869        0.7448     68.8707
Middle_Tip            0.5977   102.0178        0.6432     77.6128
Ring_MCP              0.6051    99.5721        0.6623     74.3966
Ring_PIP              0.6216    97.0795        0.6997     73.0578
Ring_DIP              0.6175    97.8750        0.7268     71.0042
Ring_Tip              0.5677   104.3329        0.6080     80.1370
Pinky_MCP             0.5937   100.9800        0.5794     80.3704
Pinky_PIP             0.5981   100.3013        0.5999     80.2466
Pinky_DIP             0.5952    99.8764        0.6238     78.8590
Pinky_Tip             0.5713   103.6235        0.5721     83.3762
