joint,direct_parity_value,dist100_value,ft150_value,winner
Wrist,0.984598,0.846700,0.849700,Parity
Thumb_Tip,0.931793,0.762000,0.765700,Parity
Thumb_DIP,0.961129,0.818500,0.821000,Parity
Thumb_PIP,0.973231,0.836100,0.834600,Parity
Thumb_MCP,0.986065,0.898800,0.896600,Parity
Index_Tip,0.949395,0.744800,0.746600,Parity
Index_DIP,0.975431,0.805300,0.806400,Parity
Index_PIP,0.984598,0.853700,0.847500,Parity
Index_MCP,0.984232,0.902100,0.897300,Parity
Middle_Tip,0.958196,0.785500,0.781100,Parity
Middle_DIP,0.983132,0.838300,0.840100,Parity
Middle_PIP,0.988265,0.879000,0.878600,Parity
Middle_MCP,0.992299,0.908000,0.906100,Parity
Ring_Tip,0.937660,0.727900,0.729700,Parity
Ring_DIP,0.979098,0.843800,0.845300,Parity
Ring_PIP,0.980565,0.862900,0.858500,Parity
Ring_MCP,0.980931,0.883400,0.883800,Parity
Pinky_Tip,0.938761,0.681300,0.685400,Parity
Pinky_DIP,0.958196,0.767900,0.768200,Parity
Pinky_PIP,0.965897,0.762400,0.763100,Parity
Pinky_MCP,0.966997,0.789900,0.789500,Parity
