reference_file,model,joint,metric,old_value,new_value,pct_diff,verdict
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),ALL,PCK@0.2,0.424800,0.424712,0.0206,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),ALL,MPJPE,59.868000,59.868130,0.0002,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),ALL,AUC,0.537700,0.537700,0.0000,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Wrist,PCK@0.2,0.203500,0.203520,0.0100,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Wrist,MPJPE,82.963300,82.964409,0.0013,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_MCP,PCK@0.2,0.385800,0.385772,0.0073,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_MCP,MPJPE,65.421700,65.421944,0.0004,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_PIP,PCK@0.2,0.422800,0.422809,0.0021,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_PIP,MPJPE,59.824000,59.824299,0.0005,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_DIP,PCK@0.2,0.363800,0.363770,0.0083,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_DIP,MPJPE,63.983100,63.983414,0.0005,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_Tip,PCK@0.2,0.283800,0.283828,0.0100,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Thumb_Tip,MPJPE,70.276900,70.277580,0.0010,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_MCP,PCK@0.2,0.411800,0.411808,0.0019,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_MCP,MPJPE,63.203400,63.203377,0.0000,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_PIP,PCK@0.2,0.456500,0.456546,0.0100,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_PIP,MPJPE,56.701300,56.701599,0.0005,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_DIP,PCK@0.2,0.401500,0.401540,0.0100,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_DIP,MPJPE,58.871900,58.872337,0.0007,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_Tip,PCK@0.2,0.325600,0.325266,0.1026,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Index_Tip,MPJPE,62.793700,62.794189,0.0008,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Middle_MCP,PCK@0.2,0.581600,0.581591,0.0015,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Middle_MCP,MPJPE,50.788700,50.788448,0.0005,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Middle_PIP,PCK@0.2,0.601800,0.601760,0.0066,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Middle_PIP,MPJPE,48.867700,48.867432,0.0005,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Middle_DIP,PCK@0.2,0.449200,0.449212,0.0026,PASS
table_iv_vii_viii_gt_space_FINAL.csv,Direct Sup. (ep.25),Middle_DIP,MPJPE,56.611400,56.611496,0.0002,PASS
