joint,direct_value,distilled_value,winner,margin
Wrist,0.203500,0.849700,FT V2-150,+0.646200
Thumb_MCP,0.385800,0.765700,FT V2-150,+0.379900
Thumb_PIP,0.422800,0.821000,FT V2-150,+0.398200
Thumb_DIP,0.363800,0.834600,FT V2-150,+0.470800
Thumb_Tip,0.283800,0.896600,FT V2-150,+0.612800
Index_MCP,0.411800,0.746600,FT V2-150,+0.334800
Index_PIP,0.456500,0.806400,FT V2-150,+0.349900
Index_DIP,0.401500,0.847500,FT V2-150,+0.446000
Index_Tip,0.325600,0.897300,FT V2-150,+0.571700
Middle_MCP,0.581600,0.781100,FT V2-150,+0.199500
Middle_PIP,0.601800,0.840100,FT V2-150,+0.238300
Middle_DIP,0.449200,0.878600,FT V2-150,+0.429400
Middle_Tip,0.328900,0.906100,FT V2-150,+0.577200
Ring_MCP,0.503900,0.729700,FT V2-150,+0.225800
Ring_PIP,0.554500,0.845300,FT V2-150,+0.290800
Ring_DIP,0.489900,0.858500,FT V2-150,+0.368600
Ring_Tip,0.366700,0.883800,FT V2-150,+0.517100
Pinky_MCP,0.477400,0.685400,FT V2-150,+0.208000
Pinky_PIP,0.469700,0.768200,FT V2-150,+0.298500
Pinky_DIP,0.455400,0.763100,FT V2-150,+0.307700
Pinky_Tip,0.385800,0.789500,FT V2-150,+0.403700
