joint,direct_value,distilled_value,winner,margin
Wrist,0.198753,0.801613,FT V2-150,+0.602860
Thumb_MCP,0.296296,0.678401,FT V2-150,+0.382105
Thumb_PIP,0.346535,0.740741,FT V2-150,+0.394206
Thumb_DIP,0.314631,0.753942,FT V2-150,+0.439311
Thumb_Tip,0.276494,0.804914,FT V2-150,+0.528420
Index_MCP,0.323066,0.664466,FT V2-150,+0.341401
Index_PIP,0.396040,0.750275,FT V2-150,+0.354235
Index_DIP,0.371837,0.759076,FT V2-150,+0.387239
Index_Tip,0.318298,0.754675,FT V2-150,+0.436377
Middle_MCP,0.410708,0.719839,FT V2-150,+0.309131
Middle_PIP,0.449212,0.785479,FT V2-150,+0.336267
Middle_DIP,0.372204,0.796480,FT V2-150,+0.424276
Middle_Tip,0.297030,0.777411,FT V2-150,+0.480381
Ring_MCP,0.404840,0.693069,FT V2-150,+0.288229
Ring_PIP,0.417308,0.784745,FT V2-150,+0.367437
Ring_DIP,0.353135,0.789146,FT V2-150,+0.436010
Ring_Tip,0.294829,0.806014,FT V2-150,+0.511184
Pinky_MCP,0.335167,0.672534,FT V2-150,+0.337367
Pinky_PIP,0.341034,0.711771,FT V2-150,+0.370737
Pinky_DIP,0.312065,0.730106,FT V2-150,+0.418042
Pinky_Tip,0.265127,0.731573,FT V2-150,+0.466447
