Untrained BlazeHandLandmark (random init.) — GT Reference
Dataset: RHD test split (2727 samples)
Reference: gt_instances.transformed_keypoints, clipped [0,255]

PCK@0.2:    0.0014
MPJPE:      188.8758 px
MSE:        37605.2148 px2
AUC:        0.0137
Det Rate:   0.00%

Joint              PCK@0.2        MPJPE
----------------------------------------
Wrist               0.0095     182.2047
Thumb_MCP           0.0004     195.7891
Thumb_PIP           0.0004     189.3958
Thumb_DIP           0.0007     182.3446
Thumb_Tip           0.0011     177.7503
Index_MCP           0.0015     198.7625
Index_PIP           0.0015     188.0880
Index_DIP           0.0011     176.8576
Index_Tip           0.0004     169.2180
Middle_MCP          0.0011     207.5809
Middle_PIP          0.0011     194.9327
Middle_DIP          0.0011     181.5548
Middle_Tip          0.0007     172.1619
Ring_MCP            0.0015     204.9522
Ring_PIP            0.0007     194.6172
Ring_DIP            0.0011     185.9730
Ring_Tip            0.0015     177.1155
Pinky_MCP           0.0007     205.9977
Pinky_PIP           0.0007     199.5178
Pinky_DIP           0.0007     195.3097
Pinky_Tip           0.0011     186.2684
