model,joint,metric,value,coordinate_space,script,command
Direct Sup. (ep.25),ALL,PCK@0.2,0.424765,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),ALL,MPJPE,59.867962,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),ALL,AUC,0.537698,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Wrist,PCK@0.2,0.203520,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Wrist,MPJPE,82.963272,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_MCP,PCK@0.2,0.385772,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_MCP,MPJPE,65.421692,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_PIP,PCK@0.2,0.422809,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_PIP,MPJPE,59.823971,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_DIP,PCK@0.2,0.363770,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_DIP,MPJPE,63.983074,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_Tip,PCK@0.2,0.283828,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_Tip,MPJPE,70.276924,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_MCP,PCK@0.2,0.411808,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_MCP,MPJPE,63.203396,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_PIP,PCK@0.2,0.456546,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_PIP,MPJPE,56.701290,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_DIP,PCK@0.2,0.401540,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_DIP,MPJPE,58.871941,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_Tip,PCK@0.2,0.325633,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_Tip,MPJPE,62.793701,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_MCP,PCK@0.2,0.581591,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_MCP,MPJPE,50.788750,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_PIP,PCK@0.2,0.601760,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_PIP,MPJPE,48.867672,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_DIP,PCK@0.2,0.449212,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_DIP,MPJPE,56.611404,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_Tip,PCK@0.2,0.328933,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Middle_Tip,MPJPE,61.683769,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_MCP,PCK@0.2,0.503850,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_MCP,MPJPE,53.835670,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_PIP,PCK@0.2,0.554455,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_PIP,MPJPE,49.993736,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_DIP,PCK@0.2,0.489916,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_DIP,MPJPE,55.062798,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_Tip,PCK@0.2,0.366703,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Ring_Tip,MPJPE,61.401241,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_MCP,PCK@0.2,0.477448,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_MCP,MPJPE,55.972324,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_PIP,PCK@0.2,0.469747,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_PIP,MPJPE,56.364342,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_DIP,PCK@0.2,0.455446,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_DIP,MPJPE,58.045395,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_Tip,PCK@0.2,0.385772,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Pinky_Tip,MPJPE,64.560982,GT-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),ALL,PCK@0.2,0.337839,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),ALL,MPJPE,72.626816,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),ALL,AUC,0.458044,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Wrist,PCK@0.2,0.198753,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Wrist,MPJPE,84.189240,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_MCP,PCK@0.2,0.296296,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_MCP,MPJPE,78.273773,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_PIP,PCK@0.2,0.346535,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_PIP,MPJPE,70.935165,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_DIP,PCK@0.2,0.314631,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_DIP,MPJPE,71.270424,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_Tip,PCK@0.2,0.276494,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Thumb_Tip,MPJPE,74.505226,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
Direct Sup. (ep.25),Index_MCP,PCK@0.2,0.323066,teacher-decoded-space,scripts/rerun_dual_space_eval.py,python scripts/rerun_dual_space_eval.py
