Direct Supervision Best (Epoch 25) — GT Reference
Dataset: RHD test split (2727 samples)
Reference: Raw GT annotations

PCK@0.2:    0.4248
MPJPE:      59.8680 px
MSE:        4530.6309 px2
AUC:        0.5377
Det Rate:   99.96%

Joint              PCK@0.2        MPJPE
----------------------------------------
Wrist               0.2035      82.9633
Thumb_MCP           0.3858      65.4217
Thumb_PIP           0.4228      59.8240
Thumb_DIP           0.3638      63.9831
Thumb_Tip           0.2838      70.2769
Index_MCP           0.4118      63.2034
Index_PIP           0.4565      56.7013
Index_DIP           0.4015      58.8719
Index_Tip           0.3256      62.7937
Middle_MCP          0.5816      50.7887
Middle_PIP          0.6018      48.8677
Middle_DIP          0.4492      56.6114
Middle_Tip          0.3289      61.6838
Ring_MCP            0.5039      53.8357
Ring_PIP            0.5545      49.9937
Ring_DIP            0.4899      55.0628
Ring_Tip            0.3667      61.4012
Pinky_MCP           0.4774      55.9723
Pinky_PIP           0.4697      56.3643
Pinky_DIP           0.4554      58.0454
Pinky_Tip           0.3858      64.5610
