FT V2-150 Zero-Shot on FreiHAND -- GT Evaluation
Checkpoint: checkpoints/distilled_v2_ft_epoch_150.pth (RHD-trained, NOT fine-tuned on FreiHAND)
Dataset: FreiHAND validation split (1628 samples)
Ground truth: FreiHAND 3D -> 2D projected keypoints

PCK@0.2:    0.7573
MPJPE:      36.0059 px
MSE:        1787.1671 px2
AUC:        0.7187
Det Rate:   100.00%

Joint              PCK@0.2        MPJPE
----------------------------------------
Wrist               0.9564      22.7766
Thumb_MCP           0.5498      47.0613
Thumb_PIP           0.9269      26.0433
Thumb_DIP           0.8249      33.9706
Thumb_Tip           0.2002      73.3440
Index_MCP           0.6787      44.4762
Index_PIP           0.9711      19.4525
Index_DIP           0.9644      25.5160
Index_Tip           0.3624      55.5441
Middle_MCP          0.7414      41.3346
Middle_PIP          0.9896      15.3805
Middle_DIP          0.9748      25.8022
Middle_Tip          0.3667      55.5062
Ring_MCP            0.7193      41.3827
Ring_PIP            0.9902      17.4664
Ring_DIP            0.9638      26.4447
Ring_Tip            0.4515      51.2280
Pinky_MCP           0.8096      37.3996
Pinky_PIP           0.9343      23.1997
Pinky_DIP           0.9177      26.5570
Pinky_Tip           0.6100      46.2379
